Date,City,AQI,AQI_Category,Traffic_Congestion_Pct,Traffic_Category,Energy_Consumption_MWh,Waste_Recycled_Pct,Waste_Landfill_Pct,Waste_Composted_Pct,Sustainability_Score
2023-01-01,Mumbai,186,Moderate,71.0,High,568.7,60.8,23.8,15.4,46.5
2023-01-01,Delhi,256,Poor,73.7,High,697.8,44.2,47.5,8.3,30.2
2023-01-01,Bangalore,128,Moderate,75.0,High,536.7,65.4,20.1,14.5,51.9
2023-01-01,Chennai,131,Moderate,58.8,Moderate,437.7,58.1,33.8,8.1,60.5
2023-01-01,Hyderabad,166,Moderate,56.3,Moderate,529.6,62.0,20.4,17.6,54.0
2023-01-02,Mumbai,184,Moderate,74.3,High,619.8,62.4,23.6,14.0,42.9
2023-01-02,Delhi,283,Poor,75.9,High,592.4,39.6,48.6,11.8,33.7
2023-01-02,Bangalore,91,Satisfactory,64.4,High,473.1,59.6,26.6,13.8,59.5
2023-01-02,Chennai,141,Moderate,58.2,Moderate,487.4,65.3,25.9,8.8,58.3
2023-01-02,Hyderabad,157,Moderate,67.8,High,531.5,65.6,22.8,11.6,52.3
2023-01-03,Mumbai,180,Moderate,75.0,High,564.5,67.3,18.2,14.5,47.4
2023-01-03,Delhi,264,Poor,82.7,Severe,668.7,39.6,48.6,11.8,28.4
2023-01-03,Bangalore,149,Moderate,67.4,High,474.3,62.9,20.7,16.4,55.9
2023-01-03,Chennai,145,Moderate,55.7,Moderate,509.6,62.7,26.6,10.7,56.8
2023-01-03,Hyderabad,166,Moderate,78.9,High,557.6,57.6,27.8,14.6,45.7
2023-01-04,Mumbai,157,Moderate,80.1,Severe,549.2,58.8,30.7,10.5,46.7
2023-01-04,Delhi,260,Poor,83.2,Severe,615.8,37.7,50.3,12.0,31.4
2023-01-04,Bangalore,135,Moderate,88.4,Severe,503.9,64.9,26.6,8.5,50.0
2023-01-04,Chennai,163,Moderate,65.4,High,492.2,58.0,33.4,8.6,53.5
2023-01-04,Hyderabad,112,Moderate,78.5,High,460.5,58.1,25.3,16.6,55.2
2023-01-05,Mumbai,217,Poor,72.7,High,556.5,53.5,35.8,10.7,43.5
2023-01-05,Delhi,267,Poor,82.7,Severe,640.7,43.8,38.7,17.5,30.8
2023-01-05,Bangalore,134,Moderate,64.7,High,498.2,65.0,17.9,17.1,56.4
2023-01-05,Chennai,153,Moderate,56.3,Moderate,457.6,57.8,32.7,9.5,58.5
2023-01-05,Hyderabad,158,Moderate,57.6,Moderate,545.6,55.2,36.8,8.0,51.8
2023-01-06,Mumbai,187,Moderate,73.1,High,627.6,54.5,29.2,16.3,40.9
2023-01-06,Delhi,271,Poor,86.9,Severe,723.4,35.3,55.8,8.9,24.1
2023-01-06,Bangalore,117,Moderate,68.2,High,520.4,58.2,32.5,9.3,53.8
2023-01-06,Chennai,121,Moderate,61.2,High,478.2,70.1,17.7,12.2,60.3
2023-01-06,Hyderabad,161,Moderate,72.3,High,536.5,57.3,31.6,11.1,48.9
2023-01-07,Mumbai,215,Poor,71.7,High,538.5,59.8,31.0,9.2,46.2
2023-01-07,Delhi,276,Poor,90.4,Severe,652.6,40.5,49.3,10.2,26.9
2023-01-07,Bangalore,146,Moderate,71.7,High,525.6,73.6,9.8,16.6,53.9
2023-01-07,Chennai,155,Moderate,61.9,High,473.8,59.6,31.1,9.3,56.3
2023-01-07,Hyderabad,178,Moderate,61.9,High,487.2,61.2,22.7,16.1,54.4
2023-01-08,Mumbai,191,Moderate,74.5,High,543.4,59.8,27.5,12.7,46.7
2023-01-08,Delhi,269,Poor,76.1,High,684.6,41.8,46.2,12.0,29.2
2023-01-08,Bangalore,104,Moderate,78.1,High,517.2,67.6,19.9,12.5,54.2
2023-01-08,Chennai,130,Moderate,62.3,High,484.1,71.1,16.5,12.4,59.3
2023-01-08,Hyderabad,171,Moderate,59.2,Moderate,647.4,64.8,18.8,16.4,46.2
2023-01-09,Mumbai,229,Poor,69.3,High,582.5,56.0,31.1,12.9,42.5
2023-01-09,Delhi,277,Poor,90.9,Severe,698.3,43.4,38.7,17.9,24.4
2023-01-09,Bangalore,120,Moderate,78.5,High,486.8,66.2,16.2,17.6,54.7
2023-01-09,Chennai,166,Moderate,59.8,Moderate,480.6,59.7,29.3,11.0,55.7
2023-01-09,Hyderabad,179,Moderate,63.5,High,490.9,58.3,33.1,8.6,53.1
2023-01-10,Mumbai,170,Moderate,68.4,High,582.6,56.1,26.3,17.6,46.3
2023-01-10,Delhi,283,Poor,86.9,Severe,633.8,38.6,51.0,10.4,28.2
2023-01-10,Bangalore,151,Moderate,76.6,High,518.0,70.4,15.4,14.2,52.2
2023-01-10,Chennai,122,Moderate,63.9,High,414.6,60.7,29.3,10.0,61.7
2023-01-10,Hyderabad,153,Moderate,60.7,High,503.5,63.6,25.4,11.0,55.6
2023-01-11,Mumbai,176,Moderate,81.2,Severe,601.8,59.9,22.1,18.0,42.3
2023-01-11,Delhi,280,Poor,84.9,Severe,676.4,45.1,37.6,17.3,27.5
2023-01-11,Bangalore,151,Moderate,59.6,Moderate,505.0,66.7,17.0,16.3,56.6
2023-01-11,Chennai,136,Moderate,52.1,Moderate,527.6,61.5,30.4,8.1,56.9
2023-01-11,Hyderabad,162,Moderate,60.4,High,502.3,51.9,38.8,9.3,52.9
2023-01-12,Mumbai,195,Moderate,73.9,High,549.4,57.0,29.0,14.0,45.6
2023-01-12,Delhi,271,Poor,81.0,Severe,655.4,39.7,47.4,12.9,29.2
2023-01-12,Bangalore,152,Moderate,61.5,High,543.3,67.3,21.9,10.8,53.8
2023-01-12,Chennai,174,Moderate,60.2,High,468.8,59.6,25.0,15.4,55.9
2023-01-12,Hyderabad,138,Moderate,63.0,High,550.8,60.1,23.1,16.8,52.3
2023-01-13,Mumbai,207,Poor,67.7,High,592.1,53.4,37.1,9.5,43.1
2023-01-13,Delhi,284,Poor,88.7,Severe,714.1,37.8,45.6,16.6,23.3
2023-01-13,Bangalore,133,Moderate,65.6,High,517.0,66.9,17.3,15.8,55.4
2023-01-13,Chennai,157,Moderate,55.9,Moderate,471.4,60.4,22.3,17.3,58.0
2023-01-13,Hyderabad,188,Moderate,52.7,Moderate,562.1,52.3,39.5,8.2,49.6
2023-01-14,Mumbai,187,Moderate,66.6,High,621.0,55.0,28.4,16.6,43.1
2023-01-14,Delhi,278,Poor,80.6,Severe,674.3,40.1,43.2,16.7,27.8
2023-01-14,Bangalore,132,Moderate,64.7,High,530.5,60.9,28.0,11.1,53.7
2023-01-14,Chennai,147,Moderate,55.9,Moderate,503.4,62.4,26.3,11.3,57.0
2023-01-14,Hyderabad,187,Moderate,53.2,Moderate,531.2,65.6,22.4,12.0,54.1
2023-01-15,Mumbai,211,Poor,71.1,High,585.8,57.3,25.0,17.7,43.2
2023-01-15,Delhi,293,Poor,98.9,Severe,669.6,43.9,43.8,12.3,23.4
2023-01-15,Bangalore,121,Moderate,62.8,High,488.8,62.0,26.1,11.9,57.6
2023-01-15,Chennai,131,Moderate,57.9,Moderate,483.6,61.8,20.9,17.3,58.5
2023-01-15,Hyderabad,128,Moderate,62.7,High,536.7,54.0,34.4,11.6,52.7
2023-01-16,Mumbai,213,Poor,75.8,High,559.4,61.0,22.5,16.5,44.3
2023-01-16,Delhi,270,Poor,80.0,Severe,659.8,45.8,42.2,12.0,30.5
2023-01-16,Bangalore,121,Moderate,71.0,High,454.5,69.6,15.6,14.8,59.3
2023-01-16,Chennai,163,Moderate,55.2,Moderate,472.1,66.8,25.2,8.0,59.0
2023-01-16,Hyderabad,152,Moderate,71.2,High,500.7,57.2,30.2,12.6,52.0
2023-01-17,Mumbai,177,Moderate,73.5,High,508.4,59.4,24.6,16.0,49.9
2023-01-17,Delhi,277,Poor,87.2,Severe,628.7,41.5,47.1,11.4,29.3
2023-01-17,Bangalore,136,Moderate,58.9,Moderate,507.0,62.5,27.5,10.0,56.7
2023-01-17,Chennai,156,Moderate,60.7,High,426.3,63.2,28.1,8.7,60.2
2023-01-17,Hyderabad,134,Moderate,69.3,High,554.8,65.8,21.3,12.9,51.9
2023-01-18,Mumbai,189,Moderate,80.8,Severe,622.0,58.2,26.1,15.7,40.0
2023-01-18,Delhi,288,Poor,88.9,Severe,704.9,51.0,35.8,13.2,25.7
2023-01-18,Bangalore,136,Moderate,69.4,High,536.2,61.4,22.6,16.0,52.0
2023-01-18,Chennai,117,Moderate,44.5,Moderate,423.4,56.5,26.6,16.9,65.4
2023-01-18,Hyderabad,134,Moderate,58.8,Moderate,482.5,59.8,26.7,13.5,57.8
2023-01-19,Mumbai,212,Poor,66.0,High,549.1,58.5,31.0,10.5,46.9
2023-01-19,Delhi,253,Poor,77.2,High,629.3,41.3,48.0,10.7,33.2
2023-01-19,Bangalore,137,Moderate,70.3,High,513.4,68.5,18.1,13.4,54.6
2023-01-19,Chennai,151,Moderate,63.3,High,467.8,56.1,35.3,8.6,55.8
2023-01-19,Hyderabad,137,Moderate,69.1,High,521.4,61.4,26.4,12.2,52.9
2023-01-20,Mumbai,208,Poor,67.5,High,552.2,50.6,33.7,15.7,45.0
2023-01-20,Delhi,272,Poor,85.4,Severe,641.0,47.4,36.1,16.5,30.5
2023-01-20,Bangalore,141,Moderate,66.2,High,516.4,60.0,26.0,14.0,53.5
2023-01-20,Chennai,145,Moderate,64.2,High,477.3,62.4,26.2,11.4,56.6
2023-01-20,Hyderabad,148,Moderate,59.5,Moderate,556.1,63.9,26.8,9.3,53.0
2023-01-21,Mumbai,185,Moderate,71.0,High,541.6,61.2,30.5,8.3,48.3
2023-01-21,Delhi,267,Poor,82.5,Severe,661.6,42.3,45.9,11.8,29.2
